영업상태코드,영업상태명,상세영업상태명,전화번호,소재지우편번호,지번주소,도로명주소,도로명주소_검색용,도로명우편번호,사업장명,데이터갱신구분,데이터갱신일자,업태구분명,
1,영업/정상,영업,02-338-5664,121819,서울특별시 마포구 동교동 204-5번지 동교동IK2 빌딩 1층 ,서울특별시 마포구 월드컵북로6길 56 동교동IK2 빌딩 1층 (동교동),서울 마포구 월드컵북로6길,3993,주막,I,2018.8.31 23:59,한식,
1,영업/정상,영업,02-2197-1733,121812,서울특별시 마포구 도화동 25-13 효성해링턴 스퀘어,서울특별시 마포구 마포대로 92 효성해링턴 스퀘어 B동 1층 67호 (도화동),서울 마포구 마포대로,4168,주막,U,2020.12.4 22:01,한식,
1,영업/정상,영업,,121829,서울특별시 마포구 상수동 336-15번지 1층 ,서울특별시 마포구 와우산로3길 32 1층 (상수동),서울 마포구 와우산로3길,4074,주무대,U,2019.12.20 2:40,기타,
1,영업/정상,영업,02-790-4750,121854,서울특별시 용산구 한강로3가 40-125번지,서울특별시 용산구 한강대로21길 17-16 ,서울 용산구 한강대로21길,4109,주미랑고추장불고기,I,2018.8.31 23:59,한식,
1,영업/정상,영업,02-6406-2019,121820,서울특별시 마포구 망원동 57-138번지 2층 ,서울특별시 마포구 월드컵로19길 42 2층 (망원동),서울 마포구 월드컵로19길,4012,주방,I,2018.11.30 2:20,기타,
1,영업/정상,영업,02-6953-9812,121818,서울특별시 마포구 동교동 166-3,서울특별시 마포구 양화로 178-8 2층 (동교동),서울 마포구 양화로,4051,주방일기,U,2020.11.1 22:03,중국식,
1,영업/정상,영업,010-932-5230,121838,서울특별시 마포구 서교동 358-136,서울특별시 마포구 와우산로21길 36-12 (서교동 지층),서울 마포구 와우산로21길,4040,주섬주섬,U,2020.12.6 0:02,한식,
1,영업/정상,영업,02-717-8004,121813,서울특별시 마포구 도화동 204-11번지 ,서울특별시 마포구 삼개로3길 6 (도화동),서울 마포구 삼개로3길,4172,주세풍복집,U,2019.2.20 2:40,한식,
1,영업/정상,영업,02-332-1860,121818,서울특별시 마포구 동교동 169-3번지 ,서울특별시 마포구 어울마당로 147 (동교동 1층),서울 마포구 어울마당로,4051,88선수촌 홍대어울마당로점,U,2019.5.22 2:40,한식,
1,영업/정상,영업,02-325-6677,121895,서울특별시 마포구 서교동 401-5 1층 2층 3층,서울특별시 마포구 독막로7길 22 (서교동 1층 2층 3층),서울 마포구 독막로7길,4048,개화기요정,U,2019.10.31 22:01,한식,
1,영업/정상,영업,0507-1364-3697,121819,서울특별시 마포구 동교동 203-36,서울특별시 마포구 월드컵북로6길 12-13 1층 (동교동),서울 마포구 월드컵북로6길,3992,다운타우너 연남,I,2020.10.31 21:00,기타,
