영업상태코드,영업상태명,상세영업상태명,전화번호,소재지우편번호,지번주소,도로명주소,도로명주소_검색용,도로명우편번호,사업장명,데이터갱신구분,데이터갱신일자,업태구분명
1,영업/정상,영업,263935145,121904,서울특별시 마포구 상암동 1601번지 2층 204205206호KGIT ,서울특별시 마포구 월드컵북로 402 2층 (상암동 204205206호 KGIT),서울 마포구 월드컵북로,3925,오늘한점 상암DMC점,I,2018.8.31 23:59,한식
1,영업/정상,영업,23338193,121893,서울특별시 마포구 서교동 366-19 23층,서울특별시 마포구 어울마당로 75 (서교동23층),서울 마포구 어울마당로,4042,오니,U,2020.11.30 21:00,일식
1,영업/정상,영업,27033886,121807,서울특별시 마포구 노고산동 106-8번지 ,서울특별시 마포구 서강로20길 10 (노고산동),서울 마포구 서강로20길,4109,신촌서서갈비,I,2018.8.31 23:59,한식
1,영업/정상,영업,23221677,121886,서울특별시 마포구 합정동 393-8번지 1층 ,서울특별시 마포구 월드컵로1길 52 (합정동1층),서울 마포구 월드컵로1길,4026,미스오뎅,I,2018.8.31 23:59,한식
1,영업/정상,영업,27174583,121812,서울특별시 마포구 도화동 194-19번지 ,서울 마포구 도화길 50,서울 마포구 도화길,,오뎅촌,I,2018.8.31 23:59,한식
1,영업/정상,영업,,121816,서울특별시 마포구 동교동 147-59,서울특별시 마포구 양화로23길 10-9 지층 (동교동),서울 마포구 양화로23길,3985,오도,U,2020.12.4 22:02,기타
1,영업/정상,영업,27179934,121801,서울특별시 마포구 공덕동 105-96번지 ,서울특별시 마포구 마포대로16길 4-1 (공덕동 서울빌딩 지하1층),서울 마포구 마포대로16길,4207,오도리,I,2018.8.31 23:59,정종/대포집/소주방
1,영업/정상,영업,,121861,서울특별시 마포구 아현동 437-3번지 ,서울특별시 마포구 마포대로 196 (아현동 고려아카데미텔지하1층7호),서울 마포구 마포대로,4206,오또꼬,I,2018.8.31 23:59,일식
1,영업/정상,영업,,121879,서울특별시 마포구 중동 373,서울특별시 마포구 모래내로9길 25 1층 (중동),서울 마포구 모래내로9길,3949,마이샐러드스토리,U,2020.12.4 22:01,기타
1,영업/정상,영업,23223539,121884,서울특별시 마포구 합정동 361-1,서울특별시 마포구 독막로6길 14 (합정동 1층일부),서울 마포구 독막로6길,4072,오레노라멘 합정본점,U,2020.12.6 22:08,일식
1,영업/정상,영업,,121822,서울특별시 마포구 망원동 410-9,서울특별시 마포구 희우정로20길 70 지1층 102호 (망원동),서울 마포구 희우정로20길,4009,오레노라멘 망원점,U,2020.12.2 23:04,기타
1,영업/정상,영업,,121838,서울특별시 마포구 서교동 358-57번지 ,서울특별시 마포구 어울마당로 86 2-4층 (서교동),서울 마포구 어울마당로,4040,오렌지룸 홍대점,I,2018.8.31 23:59,호프/통닭
1,영업/정상,영업,,121904,서울특별시 마포구 상암동 1607번지 ,서울특별시 마포구 상암산로 76 (상암동 지1층일부),서울 마포구 상암산로,3926,오로지닭곰탕,U,2020.2.2 2:40,한식
1,영업/정상,영업,,121873,서울특별시 마포구 염리동 157-13번지 ,서울특별시 마포구 백범로24길 5-5 (염리동 1층),서울 마포구 백범로24길,4149,오롯,U,2019.5.2 2:40,일식
1,영업/정상,영업,27143202,121805,서울특별시 마포구 공덕동 476 공덕파크자이,서울특별시 마포구 백범로 152 1층 56호 (공덕동 공덕파크자이),서울 마포구 백범로,4148,오롯로바타,U,2020.12.8 22:06,일식
1,영업/정상,영업,27545840,121801,서울특별시 마포구 공덕동 110-59번지 ,서울특별시 마포구 만리재옛길 56 (공덕동 1층),서울 마포구 만리재옛길,4208,오리도시,I,2018.8.31 23:59,한식
1,영업/정상,영업,,121867,서울특별시 마포구 연남동 387-13번지 ,서울특별시 마포구 동교로 262-6 2층일부 (연남동),서울 마포구 동교로,3982,오마,I,2018.8.31 23:59,외국음식전문점(인도태국등)
1,영업/정상,영업,23221424,121816,서울특별시 마포구 동교동 155-20번지 ,서울특별시 마포구 월드컵북로2길 82 (동교동 1층),서울 마포구 월드컵북로2길,3994,오모테나시,I,2018.8.31 23:59,일식
1,영업/정상,영업,27167868,121812,서울특별시 마포구 도화동 194-22번지 1층 ,서울특별시 마포구 도화길 50-6 1층 (도화동),서울 마포구 도화길,4169,오목집 마포점,I,2018.8.31 23:59,한식
1,영업/정상,영업,,121865,서울특별시 마포구 연남동 257-8번지 104호,서울특별시 마포구 성미산로26길 43 104호 (연남동),서울 마포구 성미산로26길,3984,오물오물,U,2020.5.16 2:40,일식
1,영업/정상,영업,,121865,서울특별시 마포구 연남동 260-28번지 지1층 ,서울특별시 마포구 동교로 240 지1층 (연남동),서울 마포구 동교로,3982,오물오물,U,2019.9.5 2:40,한식
1,영업/정상,영업,,121854,서울특별시 마포구 신수동 85-24번지 ,서울특별시 마포구 독막로31길 18 1층 (신수동),서울 마포구 독막로31길,4096,오복즉석떡볶이,I,2018.8.31 23:59,한식
1,영업/정상,영업,,121820,서울특별시 마포구 망원동 401-36번지 1층일부 ,서울특별시 마포구 포은로 78 (망원동 1층일부),서울 마포구 포은로,4014,오복수산시장,U,2018.11.8 2:37,경양식
1,영업/정상,영업,,121865,서울특별시 마포구 연남동 226-29번지 1층일부 ,서울특별시 마포구 성미산로 195 (연남동 1층일부),서울 마포구 성미산로,3981,오복수산시장,U,2019.5.2 2:40,한식
