영업상태코드,영업상태명,상세영업상태명,전화번호,소재지우편번호,지번주소,도로명주소,도로명주소_검색용,도로명우편번호,사업장명,데이터갱신구분,데이터갱신일자,업태구분명,
1,영업/정상,영업,,121895,서울특별시 마포구 서교동 404-13,서울특별시 마포구 독막로9길 33 지1층 (서교동),서울 마포구 독막로9길,4048,0.5,I,2019.10.31 22:07,기타,
1,영업/정상,영업,,121813,서울특별시 마포구 도화동 201-45,서울특별시 마포구 삼개로 9 1층 (도화동),서울 마포구 삼개로,4172,1988옛날통닭 도화동점,I,2019.10.31 23:05,기타,
1,영업/정상,영업,,121867,서울특별시 마포구 연남동 390-25번지 지층일부 ,서울특별시 마포구 동교로38길 27 지층일부 (연남동),서울 마포구 동교로38길,3982,33유콘,I,2018.8.31 23:59,기타,
1,영업/정상,영업,,121829,서울특별시 마포구 상수동 324-8번지 2층일부 ,서울특별시 마포구 독막로 84 (상수동 2층일부),서울 마포구 독막로,4074,4월5일,U,2019.7.13 2:40,한식,
1,영업/정상,영업,,121820,서울특별시 마포구 망원동 377-5 베스트힐,서울특별시 마포구 동교로9길 48 베스트힐 2층 (망원동),서울 마포구 동교로9길,4012,5959양꼬치,U,2020.12.4 22:02,한식,
1,영업/정상,영업,23352929,121893,서울특별시 마포구 서교동 364-23번지 23층 ,서울특별시 마포구 어울마당로 80 (서교동 23층),서울 마포구 어울마당로,4041,5번가,I,2018.8.31 23:59,한식,
1,영업/정상,영업,,121805,서울특별시 마포구 공덕동 476번지 외1필지 공덕파크자이 201동 5호,서울특별시 마포구 백범로 152 201동 5호 (공덕동 공덕파크자이),서울 마포구 백범로,4148,A4 아시안키친,U,2018.12.21 2:40,외국음식전문점(인도태국등),
1,영업/정상,영업,,121836,서울특별시 마포구 서교동 330-26번지 ,서울특별시 마포구 와우산로29길 56-11 (서교동 지1층 일부),서울 마포구 와우산로29길,4052,A펍,I,2018.8.31 23:59,호프/통닭,
1,영업/정상,영업,,121883,서울특별시 마포구 합정동 412-29번지 지1층 ,서울특별시 마포구 독막로3길 6 지1층 (합정동),서울 마포구 독막로3길,4047,B&B,I,2018.8.31 23:59,호프/통닭,
1,영업/정상,영업,,121805,서울특별시 마포구 공덕동 475번지 공덕푸르지오시티 1층 110호 ,서울특별시 마포구 마포대로 156 (공덕동 공덕푸르지오시티 1층 110호),서울 마포구 마포대로,4211,BBQ 공덕점,U,2019.10.18 2:40,호프/통닭,
