영업상태코드,영업상태명,상세영업상태명,전화번호,소재지우편번호,지번주소,도로명주소,도로명주소_검색용,도로명우편번호,사업장명,데이터갱신구분,데이터갱신일자,업태구분명
1,영업/정상,영업,231411555,121903,서울특별시 마포구 망원동 415-53번지 1층 ,서울특별시 마포구 망원로6길 19 (망원동 1층),서울 마포구 망원로6길,4009,파이브테이블스,I,2018.8.31 23:59,경양식
1,영업/정상,영업,,121837,서울특별시 마포구 서교동 347-23번지 지하1층 ,서울특별시 마포구 어울마당로 132-1 (서교동 지하1층),서울 마포구 어울마당로,4053,파쿠모리 홍대2호점,I,2018.8.31 23:59,일식
1,영업/정상,영업,,121809,서울특별시 마포구 대흥동 241-40,서울특별시 마포구 백범로16안길 31 12층 (대흥동),서울 마포구 백범로16안길,4149,파크사이드,I,2020.12.8 22:09,기타
1,영업/정상,영업,,121846,서울특별시 마포구 성산동 243-5,서울특별시 마포구 성미산로 43 지1층일부 (성산동),서울 마포구 성미산로,3968,파파존스 망원점,U,2021.12.1 0:02,경양식
1,영업/정상,영업,,121829,서울특별시 마포구 상수동 309-3번지 ,서울특별시 마포구 독막로 93 2층 (상수동),서울 마포구 독막로,4068,파파존스홍대,I,2018.8.31 23:59,까페
1,영업/정상,영업,,121838,서울특별시 마포구 서교동 358-41번지 ,서울특별시 마포구 와우산로21길 28-10 (서교동 지하1층),서울 마포구 와우산로21길,4040,파파초밥,I,2018.8.31 23:59,일식
1,영업/정상,영업,,121805,서울특별시 마포구 공덕동 475번지 공덕푸르지오시티 ,서울특별시 마포구 마포대로 156 공덕푸르지오시티 1층 108호 (공덕동),서울 마포구 마포대로,4211,파파호 공덕점,I,2018.8.31 23:59,외국음식전문점(인도태국등)
1,영업/정상,영업,,121883,서울특별시 마포구 합정동 411-5 1,서울특별시 마포구 양화로6길 76 1층 (합정동),서울 마포구 양화로6길,4047,팔각도 합정역점,U,2019.12.7 23:06,기타
1,영업/정상,영업,,121895,서울특별시 마포구 서교동 409-10,서울특별시 마포구 와우산로15길 28 1층 (서교동),서울 마포구 와우산로15길,4049,팔도돼지곱창 합정점,I,2019.11.2 0:04,기타
1,영업/정상,영업,,121893,서울특별시 마포구 서교동 394-65번지 ,서울특별시 마포구 양화로6길 9-20 (서교동 1층),서울 마포구 양화로6길,4044,팔로피자,I,2018.8.31 23:59,까페
1,영업/정상,영업,,121815,서울특별시 마포구 도화동 555번지 ,서울특별시 마포구 마포대로 33 (도화동 한화오벨리스크 B1층 126호),서울 마포구 마포대로,4167,팔미리 구이와장,I,2018.8.31 23:59,한식
1,영업/정상,영업,27194848,121807,서울특별시 마포구 노고산동 107-111번지 ,서울특별시 마포구 백범로 18 지층 (노고산동),서울 마포구 백범로,4100,팔색삼겹살 신촌본점,U,2019.11.1 2:40,한식
1,영업/정상,영업,,121856,서울특별시 마포구 신수동 381-11,서울특별시 마포구 토정로 213 지11층 (신수동),서울 마포구 토정로,4088,팔팔,I,2019.12.5 22:08,기타
1,영업/정상,영업,,121812,서울특별시 마포구 도화동 181-5번지 1층 ,서울특별시 마포구 도화길 49-1 (도화동1층),서울 마포구 도화길,4168,팔팔전복,I,2018.8.31 23:59,한식
1,영업/정상,영업,,121865,서울특별시 마포구 연남동 224-40,서울특별시 마포구 성미산로 185 2층 (연남동),서울 마포구 성미산로,3981,팜팜발리,U,2020.12.6 0:09,외국음식전문점(인도태국등)
1,영업/정상,영업,,121805,서울특별시 마포구 공덕동 463번지 마포현대하이엘 ,서울특별시 마포구 마포대로 173 마포현대하이엘 111112호 (공덕동),서울 마포구 마포대로,4130,팟타이로얄,U,2018.10.25 2:37,외국음식전문점(인도태국등)
1,영업/정상,영업,,121805,서울특별시 마포구 공덕동 476번지 공덕파크자이 1층 102동 17호,서울특별시 마포구 백범로 152 102동 1층 17호 (공덕동 공덕파크자이),서울 마포구 백범로,4148,더팩토리엠 2호점,I,2018.8.31 23:59,기타
1,영업/정상,영업,,121869,서울특별시 마포구 연남동 566-67,서울특별시 마포구 연남로 15 1층 (연남동),서울 마포구 연남로,3990,팬앤팟,U,2020.12.3 23:00,감성주점
1,영업/정상,영업,,121835,서울특별시 마포구 상암동 1597번지 사보이시티디엠씨 ,서울특별시 마포구 월드컵북로54길 17 사보이시티디엠씨 지1층 B125호 (상암동),서울 마포구 월드컵북로54길,3924,팬앤포,I,2019.11.7 0:23,기타
1,영업/정상,영업,,121837,서울특별시 마포구 서교동 362-14번지 ,서울특별시 마포구 와우산로19길 6-11 지하1층 (서교동),서울 마포구 와우산로19길,4041,퍼기포레스트,U,2019.8.31 2:40,기타
1,영업/정상,영업,,121867,서울특별시 마포구 연남동 384-3번지 1층 ,서울특별시 마포구 동교로46길 26 1층 (연남동),서울 마포구 동교로46길,3982,퍼밀,I,2018.8.31 23:59,경양식
1,영업/정상,영업,,121820,서울특별시 마포구 망원동 378-13,서울특별시 마포구 월드컵로11길 4 (망원동),서울 마포구 월드컵로11길,4013,퍼줄래대박집,U,2020.12.2 23:08,한식
1,영업/정상,영업,23369294,121895,서울특별시 마포구 서교동 407-25번지 지하1층 ,서울특별시 마포구 잔다리로 9 지하1층 (서교동),서울 마포구 잔다리로,4049,퍼플피플,I,2018.8.31 23:59,한식
1,영업/정상,영업,27186242,121813,서울특별시 마포구 도화동 345-1번지 ,서울특별시 마포구 도화길 24-1 2층 (도화동),서울 마포구 도화길,4172,펀비어킹 마포도화점,U,2018.11.23 2:36,경양식
1,영업/정상,영업,,121897,서울특별시 마포구 합정동 367-8번지 ,서울특별시 마포구 토정로3길 22 지상1층 (102)호 (합정동),서울 마포구 토정로3길,4083,펍,I,2018.8.31 23:59,호프/통닭
1,영업/정상,영업,,121828,서울특별시 마포구 상수동 88-15번지 ,서울특별시 마포구 독막로19길 42-12 (상수동 지층일부),서울 마포구 독막로19길,4067,펍수니스,I,2018.8.31 23:59,호프/통닭
1,영업/정상,영업,23337138,121836,서울특별시 마포구 서교동 331-9번지 ,서울특별시 마포구 어울마당로 136-13 1층 102호 (서교동),서울 마포구 어울마당로,4053,펍원,I,2018.8.31 23:59,호프/통닭
1,영업/정상,영업,24071406440,121829,서울특별시 마포구 상수동 311-7 311-7빌딩,서울특별시 마포구 독막로15길 13 311-7빌딩 지하1 1층 (상수동),서울 마포구 독막로15길,4049,페더,U,2020.12.4 22:00,기타
1,영업/정상,영업,,121822,서울특별시 마포구 망원동 414-17번지 ,서울특별시 마포구 포은로 106-1 1층 (망원동),서울 마포구 포은로,4010,페리도트 망원점,I,2019.6.12 2:21,기타
1,영업/정상,영업,23121014,121851,서울특별시 마포구 신공덕동 13-18번지 1층 ,서울특별시 마포구 만리재옛길 20 (신공덕동1층),서울 마포구 만리재옛길,4209,페리카나 신공덕점,I,2018.8.31 23:59,호프/통닭
1,영업/정상,영업,2207040401,121804,서울특별시 마포구 공덕동 370-9번지 ,서울특별시 마포구 마포대로11길 75 (공덕동 공덕현대아파트 상가102호),서울 마포구 마포대로11길,4141,페리카나 공덕역점,I,2018.8.31 23:59,분식
1,영업/정상,영업,27032122,121813,서울특별시 마포구 도화동 268-0,서울특별시 마포구 도화2안길 10 (도화동),서울 마포구 도화2안길,4172,페리카나 도화동점,U,2020.11.1 23:06,호프/통닭
