영업상태코드,영업상태명,상세영업상태명,전화번호,소재지우편번호,지번주소,도로명주소,도로명주소_검색용,도로명우편번호,사업장명,데이터갱신구분,데이터갱신일자,업태구분명
1,영업/정상,영업,27162413,121876,서울특별시 마포구 용강동 494-61번지 2층 3층 ,서울특별시 마포구 토정로 268 (용강동2층 3층),서울 마포구 토정로,4162,부영각,I,2018-08-31 23:59,중국식
1,영업/정상,영업,27178906,121875,서울특별시 마포구 용강동 40-1번지 ,서울특별시 마포구 토정로 313 (용강동),서울 마포구 토정로,4166,태순집,I,2018-08-31 23:59,한식
1,영업/정상,영업,27166661,121875,서울특별시 마포구 용강동 50-14번지 ,서울특별시 마포구 토정로 312 (용강동 2층),서울 마포구 토정로,4165,마포옥하우스,I,2018-08-31 23:59,한식
1,영업/정상,영업,27179021,121812,서울특별시 마포구 도화동 179-7,서울특별시 마포구 새창로2길 13 (도화동),서울 마포구 새창로2길,4168,도화곱창,U,2020-10-31 22:07,한식
1,영업/정상,영업,27027462,121875,서울특별시 마포구 용강동 43-2,서울특별시 마포구 토정로 311 (용강동),서울 마포구 토정로,4166,원조조박집2,U,2020-10-31 23:07,호프/통닭
1,영업/정상,영업,27140234,121851,서울특별시 마포구 신공덕동 13-2,서울특별시 마포구 만리재옛길 18 2층 2호 (신공덕동),서울 마포구 만리재옛길,4209,주몽,U,2020-10-30 22:01,중국식
1,영업/정상,영업,23228881,121807,서울특별시 마포구 노고산동 49-18번지 ,서울특별시 마포구 신촌로 76 (노고산동 지하1층),서울 마포구 신촌로,4057,삼성원,I,2018-08-31 23:59,중국식
1,영업/정상,영업,27120985,121813,서울특별시 마포구 도화동 343-1번지 ,서울특별시 마포구 도화2길 4 (도화동),서울 마포구 도화2길,4172,외백,I,2018-08-31 23:59,중국식
1,영업/정상,영업,27175551,121070,서울특별시 마포구 용강동 502 래미안마포리버웰 121동 201202호,서울특별시 마포구 토정로31길 23 121동 201.202호 (용강동 래미안마포리버웰),서울 마포구 토정로31길,4161,조마루뼈다귀마포점,U,2019-11-01 22:04,한식
1,영업/정상,영업,27180825,121872,서울특별시 마포구 염리동 148-24번지 ,서울특별시 마포구 백범로 127-20 (염리동),서울 마포구 백범로,4138,태종대,I,2018-08-31 23:59,한식
1,영업/정상,영업,23342569,121887,서울특별시 마포구 합정동 433-5번지 ,서울특별시 마포구 동교로 42-1 (합정동 1층),서울 마포구 동교로,4021,선경,I,2018-08-31 23:59,중국식
1,영업/정상,영업,23370070,121886,서울특별시 마포구 합정동 393-20번지 ,서울특별시 마포구 포은로 12 (합정동),서울 마포구 포은로,4026,왕장,I,2018-08-31 23:59,중국식
1,영업/정상,영업,23237769,121807,서울특별시 마포구 노고산동 54-28번지 지하1층 일부 ,서울특별시 마포구 신촌로16길 20 (노고산동지하1층 일부),서울 마포구 신촌로16길,4057,LP와음악사랑,I,2018-08-31 23:59,호프/통닭
1,영업/정상,영업,27129526,121813,서울특별시 마포구 도화동 335-2번지 ,서울특별시 마포구 도화길 20-4 (도화동 1층),서울 마포구 도화길,4172,한양설농탕,I,2018-08-31 23:59,한식
1,영업/정상,영업,27153196,121806,서울특별시 마포구 노고산동 31-23번지 ,서울특별시 마포구 신촌로20길 12 (노고산동 1층 일부),서울 마포구 신촌로20길,4102,벌떼식당,I,2018-08-31 23:59,한식
1,영업/정상,영업,23364479,121807,서울특별시 마포구 노고산동 54-2번지 ,서울특별시 마포구 신촌로12가길 36 (노고산동),서울 마포구 신촌로12가길,4057,사랑채,I,2018-08-31 23:59,한식
1,영업/정상,영업,27158550,121806,서울특별시 마포구 노고산동 31-33,서울특별시 마포구 백범로1길 12 (노고산동 12층),서울 마포구 백범로1길,4102,덕승루,U,2020-12-08 23:09,중국식
1,영업/정상,영업,27194301,121813,서울특별시 마포구 도화동 343-2번지 ,서울특별시 마포구 도화길 22 (도화동),서울 마포구 도화길,4172,마포원조삼계탕,I,2018-08-31 23:59,한식
1,영업/정상,영업,27166784,121876,서울특별시 마포구 용강동 122-9,서울특별시 마포구 토정로 288 (용강동),서울 마포구 토정로,4163,생활맥주 마포역점,U,2020-12-05 22:04,한식
1,영업/정상,영업,27123300,121803,서울특별시 마포구 공덕동 254번지 ,서울 마포구 신촌로12나길 32,서울 마포구 신촌로12나길,,신촌식당,I,2018-08-31 23:59,한식
1,영업/정상,영업,27132693,121803,서울특별시 마포구 공덕동 242-38번지 지상1층지하1층 ,서울특별시 마포구 마포대로12길 35 (공덕동지상1층지하1층),서울 마포구 마포대로12길,4211,마포나루김치찌개,I,2018-08-31 23:59,한식
1,영업/정상,영업,,121875,서울특별시 마포구 용강동 43-7,서울특별시 마포구 토정로 303 12층 (용강동),서울 마포구 토정로,4166,카나,U,2020-12-07 22:05,일식
1,영업/정상,영업,27129911,121813,서울특별시 마포구 도화동 343-2번지 ,서울특별시 마포구 도화길 22-3 (도화동),서울 마포구 도화길,4172,마미치킨,I,2018-08-31 23:59,분식
1,영업/정상,영업,27167868,121812,서울특별시 마포구 도화동 194-22번지 1층 ,서울특별시 마포구 도화길 50-6 1층 (도화동),서울 마포구 도화길,4169,오목집 마포점,I,2018-08-31 23:59,한식
1,영업/정상,영업,27178475,121807,서울특별시 마포구 노고산동 107-97번지 ,서울특별시 마포구 백범로 14 (노고산동),서울 마포구 백범로,4100,노고산숯불갈비,I,2018-08-31 23:59,분식
1,영업/정상,영업,23389630,121880,서울특별시 마포구 창전동 5-91번지 ,서울특별시 마포구 와우산로 148-1 (창전동 1층),서울 마포구 와우산로,4059,컬투치킨 창전사랑점,I,2018-08-31 23:59,중국식
1,영업/정상,영업,27169897,121812,서울특별시 마포구 도화동 179-1,서울특별시 마포구 도화길 35 (도화동),서울 마포구 도화길,4168,크레프트한스,U,2019-11-01 21:00,한식
1,영업/정상,영업,27111800,121801,서울특별시 마포구 공덕동 105-77번지 ,서울특별시 마포구 마포대로14길 8 (공덕동),서울 마포구 마포대로14길,4211,먹태에 꼬치다,U,2020-01-15 2:40,한식
1,영업/정상,영업,27123082,121812,서울특별시 마포구 도화동 38-2,서울특별시 마포구 새창로 20 (도화동),서울 마포구 새창로,4169,최연탄,U,2020-12-06 22:03,한식
1,영업/정상,영업,27159090,121875,서울특별시 마포구 용강동 39-1번지 ,서울특별시 마포구 토정로35길 12 (용강동),서울 마포구 토정로35길,4166,남촌집,I,2018-08-31 23:59,한식
1,영업/정상,영업,27166867,121872,서울특별시 마포구 염리동 147-27번지 ,서울특별시 마포구 숭문길 16 (염리동 1층),서울 마포구 숭문길,4138,일번지대박집,I,2018-08-31 23:59,일식
1,영업/정상,영업,,121130,서울특별시 마포구 구수동 56-6번지 ,서울특별시 마포구 창전로 54 (구수동),서울 마포구 창전로,4087,마포칼국수,I,2018-08-31 23:59,한식
1,영업/정상,영업,27166147,121854,서울특별시 마포구 신수동 86-3번지 1층동 ,서울특별시 마포구 백범로 48 1층동 (신수동),서울 마포구 백범로,4109,용궁설렁탕,I,2018-08-31 23:59,한식
1,영업/정상,영업,27073981,121854,서울특별시 마포구 신수동 88-13번지 ,서울특별시 마포구 광성로 42-1 (신수동),서울 마포구 광성로,4096,반석식당,I,2018-08-31 23:59,한식
1,영업/정상,영업,23331977,121838,서울특별시 마포구 서교동 354-2번지 2층동 ,서울특별시 마포구 홍익로 29 2층동 (서교동),서울 마포구 홍익로,4038,신원복집식당,I,2018-08-31 23:59,복어취급
1,영업/정상,영업,23330166,121900,서울특별시 마포구 망원동 484-1번지 1층 ,서울특별시 마포구 월드컵로 105 (망원동1층),서울 마포구 월드컵로,4011,청기와식당,I,2018-08-31 23:59,한식
1,영업/정상,영업,27171922,121872,서울특별시 마포구 염리동 147-5번지 지상1층 지하1층 ,서울특별시 마포구 숭문길 26 (염리동지상1층 지하1층),서울 마포구 숭문길,4138,을밀대 본점,I,2018-08-31 23:59,한식
1,영업/정상,영업,27834245,121830,서울특별시 마포구 상암동 2-223번지 2층 ,서울특별시 마포구 매봉산로2길 7 (상암동2층),서울 마포구 매봉산로2길,3927,상암토우,I,2018-08-31 23:59,한식
1,영업/정상,영업,27121444,121813,서울특별시 마포구 도화동 250-10번지 ,서울특별시 마포구 도화길 6-3 1층 (도화동),서울 마포구 도화길,4173,솥밥삼겹살,U,2019-07-07 2:40,한식
1,영업/정상,영업,27166847,121875,서울특별시 마포구 용강동 39-1번지 우성연립 ,서울특별시 마포구 토정로37길 9 E동 8 9호 (용강동 우성연립),서울 마포구 토정로37길,4166,석양집,U,2019-10-20 2:40,한식
1,영업/정상,영업,27158326,121872,서울특별시 마포구 염리동 148-33번지 ,서울특별시 마포구 숭문길 6 (염리동 1층),서울 마포구 숭문길,4138,예산한우,I,2018-08-31 23:59,한식
1,영업/정상,영업,,121807,서울특별시 마포구 노고산동 57-34번지 ,서울특별시 마포구 신촌로18길 19 (노고산동 1층),서울 마포구 신촌로18길,4058,나주곰탕&오우돈,I,2018-08-31 23:59,한식
1,영업/정상,영업,23931399,121841,서울특별시 마포구 서교동 449-35번지 1층동 ,서울특별시 마포구 월드컵북로 41 1층동 (서교동),서울 마포구 월드컵북로,4000,마산집식당,I,2018-08-31 23:59,한식
1,영업/정상,영업,23380644,121827,서울특별시 마포구 망원동 482-5번지 ,서울특별시 마포구 망원로11길 6 (망원동 1층),서울 마포구 망원로11길,3963,푸짐한밥상,I,2018-08-31 23:59,한식
1,영업/정상,영업,23220885,121865,서울특별시 마포구 연남동 227-1번지 1층 ,서울특별시 마포구 연희로 35 (연남동1층),서울 마포구 연희로,3982,코리아,I,2018-08-31 23:59,한식
1,영업/정상,영업,27117545,121854,서울특별시 마포구 신수동 39-2번지 ,서울특별시 마포구 독막로 240 (신수동),서울 마포구 독막로,4090,국빈,I,2018-08-31 23:59,중국식
