영업상태코드,영업상태명,상세영업상태명,전화번호,소재지우편번호,지번주소,도로명주소,도로명주소_검색용,도로명우편번호,사업장명,데이터갱신구분,데이터갱신일자,업태구분명
1,영업/정상,영업,,121837,서울특별시 마포구 서교동 363-7,서울특별시 마포구 잔다리로 8-6 지층1층2층층 (서교동),서울 마포구 잔다리로,4041,1943,U,2020.12.3 0:09,기타
1,영업/정상,영업,2231427879,121837,서울특별시 마포구 서교동 360-23번지 지하1층 ,서울특별시 마포구 와우산로18길 6 (서교동지하1층),서울 마포구 와우산로18길,4067,0빠,I,2018.8.31 23:59,호프/통닭
1,영업/정상,영업,,121903,서울특별시 마포구 망원동 418-17번지 ,서울특별시 마포구 희우정로 128 1층 (망원동),서울 마포구 희우정로,4007,101호,I,2019.12.13 0:23,기타
1,영업/정상,영업,,121812,서울특별시 마포구 도화동 25-13번지 효성해링턴 스퀘어 ,서울특별시 마포구 마포대로 92 효성해링턴 스퀘어 B동 1층 15-1호 (도화동),서울 마포구 마포대로,4168,10공덕황소곱창,U,2019.10.4 2:40,기타
1,영업/정상,영업,27179339,121812,서울특별시 마포구 도화동 25-12번지 1층 ,서울 마포구 새창로 23,서울 마포구 새창로,,10번출구,U,2019.9.12 2:40,호프/통닭
1,영업/정상,영업,,121900,서울특별시 마포구 망원동 494번지 삼성화원아파트 ,서울특별시 마포구 망원로10길 6 104호 (망원동 삼성화원아파트),서울 마포구 망원로10길,4011,10평 파스타,I,2019.7.21 2:21,기타
1,영업/정상,영업,,121829,서울특별시 마포구 상수동 327-1번지 2층 ,서울특별시 마포구 와우산로7길 5 2층 (상수동),서울 마포구 와우산로7길,4074,1976샤브샤브,I,2018.8.31 23:59,한식
1,영업/정상,영업,220667874,121829,서울특별시 마포구 상수동 310-8번지 ,서울특별시 마포구 와우산로 39-13 2층 (상수동),서울 마포구 와우산로,4049,1976샤브샤브,I,2018.8.31 23:59,한식
1,영업/정상,영업,,121895,서울특별시 마포구 서교동 407-12번지 ,서울특별시 마포구 와우산로17길 14 2층 (서교동),서울 마포구 와우산로17길,4049,1988고기불패,I,2018.8.31 23:59,호프/통닭
1,영업/정상,영업,,121904,서울특별시 마포구 상암동 1601번지 KGIT센터 지1층 B126호,서울특별시 마포구 월드컵북로 402 B126호 (상암동 KGIT센터 지1층),서울 마포구 월드컵북로,3925,1992 철판전문점,U,2019.6.23 2:40,경양식
